TF	Log10Events	MDS_difference	p-value
BHA15_0	3.1156105116742996	-0.03251160150645643	0.027585591074
ZN740_0	2.9576072870600947	-0.024646630319380747	0.0280057117198
PAX6_0	2.5125509929042105	-0.05494813168598019	0.0281432952538
HXD3_0	2.5465426634781307	0.04626957252874752	0.0287997079207
SPZ1_0	2.2999429000227667	-0.0751231104358155	0.0296104378727
EVX1_0	2.7497363155690606	0.04694812550424998	0.0310567112444
ZN770_0	4.30072588307482	0.004914138187307704	0.0313965416843
MAX_0	2.4440447959180758	0.0556558223605044	0.0332413729089
ZN582_0	1.9566485792052033	0.06888659506464047	0.0342295112656
SP1_1	3.409425868671443	-0.027979829355161384	0.0349115015378
JUNB_0	3.3483048630481607	-0.030298493915668828	0.0361802876858
CTCFL_0	2.8615344108590377	-0.05356204716207516	0.0361865590362
PO4F2_0	2.5998830720736876	-0.03476601240626184	0.0375363499555
RHXF1_0	2.415807727635543	-0.049560643072541176	0.0378216227833
TBX5_0	3.4130481693178747	0.013141671295289129	0.0396374117407
ESR1_0	2.5237464668115646	0.05107781988407417	0.0409909567291
PPARD_0	2.550839605065785	0.055410317911702645	0.0420990290276
RFX4_0	2.3394514413064402	-0.07644675237266735	0.042594654776
ZNF41_0	2.4273237863572468	-0.05716222837116222	0.0430302406255
NKX61_0	2.8959747323590643	0.020427134379697176	0.0433166536296
HXA13_0	2.851258348719075	0.029357589347167312	0.0450805900721
ATF1_0	2.3138672203691533	-0.08334138158815671	0.0478093370585
ZNF85_0	2.5289167002776547	0.051643988014217324	0.0480201031484
CDX2_0	3.115277591395901	0.022269247670546777	0.048380045247
RARG_1	3.94865743214132	0.0081785116691471	0.0484461235948
BATF_1	2.7234556720351857	0.04157225596712322	0.0486503367491
ESR2_1	4.133331291536331	0.006918051747822481	0.0498671982073
MAFK_0	2.2564772062416765	0.08715586095937652	0.0502511979367
ZSCA4_0	2.2367890994092927	-0.06444965825216124	0.0530747243432
MYF6_0	3.89768206179642	-0.011241395607131053	0.0538960852083
SOX8_0	2.3793055177505815	0.0456112210025706	0.0557078029997
TWST1_1	2.710117365111816	0.04224968806290352	0.0561625217647
P63_1	3.1668739508588186	0.023544534440428422	0.0578743410465
NR2E1_0	2.2741578492636796	0.05674255856533468	0.0583326233736
CTCF_0	2.836007459125531	-0.0507794206077746	0.0584432910641
GATA3_0	3.2153731527834215	-0.015209941550359781	0.0607171984421
HMGA1_0	4.107277822859771	0.005492545124086931	0.061005751337
GFI1B_0	2.8808135922807914	0.027253738169928446	0.0612339134242
PRGR_0	2.578639209968072	-0.03991647096659226	0.062527000244
PRRX2_0	3.9697186945647673	0.00593945898479214	0.0654958342772
VAX1_0	2.363611979892144	-0.03594222642510343	0.0697958260727
FIGLA_0	2.800029359244134	0.023034229112774675	0.069976059714
NR4A3_0	2.677606952720493	0.031645203537875685	0.0702570393882
ANDR_1	2.6127838567197355	-0.03941729770406911	0.0711191466819
TEF_0	2.725503268859315	-0.02492498721653457	0.0713308931837
SOX13_0	3.517723594833735	0.012384916765791525	0.0714273651479
BACH2_0	2.7279477095447966	-0.05417676949732406	0.0724031825837
RXRB_0	3.5780085095732557	0.009467173131375359	0.0733744747679
ZNF41_1	2.785685668280901	0.028390550465279565	0.0743366783533
FOXA3_0	2.855216194733363	0.025995979666627603	0.074678512585
TBX3_0	3.363423932917176	0.013028117781626958	0.0751353604559
REST_0	2.220108088040055	-0.0540219147304384	0.076685776462
NR4A1_0	2.962132469298235	0.02444208424618352	0.0769298926778
ZN281_0	3.5462958351214424	-0.014814108766589949	0.0777393509808
SRF_0	2.505149978319906	0.04443352475760977	0.078543439434
ZN282_0	2.625312450961674	0.031113987075085628	0.0791038138228
EGR1_0	3.5010592622177517	-0.01692476934969503	0.0794134840432
FOXK1_0	3.1737688231366494	-0.01604768783733393	0.0799804165006
SRY_0	3.7861478160971753	-0.007312669477722437	0.0805087639229
TAF1_0	3.398807730203264	-0.019117614575039105	0.0811318364213
MITF_0	2.625312450961674	0.05494149294875947	0.0831330673627
THAP1_0	3.035829825252828	-0.03133130185827962	0.0835055562264
ZN264_0	2.3953263930693507	0.04313461225291067	0.083892361792
ZN136_0	2.4578818967339924	0.03779293663337679	0.0855075803782
TYY1_0	2.4191293077419753	-0.05990233382824883	0.0865797370174
DLX3_0	2.677606952720493	0.027464377051136045	0.0884010946579
SOX4_0	3.1854004831904525	-0.01930582926626742	0.0895072014601
BATF3_0	2.648360010980931	-0.032720918176832745	0.0905970183226
AP2C_0	3.1151110355043476	0.024003248127183574	0.0929779787445
ELF3_0	3.095343731872525	-0.02655427137782415	0.0942903899624
ZN713_0	3.3430144971507674	0.012451262503001154	0.0956013454679
ETV4_0	3.3679147387937522	-0.019433704297272786	0.0962547800999
HNF1A_0	2.5954962218255737	0.03462542826473067	0.0964277508514
PO5F1_0	2.53529412004277	0.028374336079258988	0.0965959448044
FOXP3_0	3.292034435994736	-0.011569148475919782	0.0979624327585
SP4_1	3.58029758843657	-0.015902004477590825	0.0984178409454
ZN708_1	2.8014037100173548	-0.031695521772380164	0.0998333155412
TEAD2_0	2.8591382972945305	-0.029415131113719628	0.100616286833
EPAS1_0	1.9319661147281726	0.07504442618072002	0.101327532129
PATZ1_0	4.0873731878886534	-0.007550386655492373	0.102867853515
NF2L1_0	3.885389493491494	-0.008802785632218339	0.103698450332
E2F5_0	1.7817553746524688	0.12899372030918463	0.104409810364
GSX2_0	2.9527924430440917	0.015033855009079342	0.105209049355
HAND1_1	3.9989129043587854	0.008021086297000992	0.106713800013
ETV6_0	3.6182573448404005	-0.013362872107708144	0.106828890997
MAFA_0	2.7238659644435037	-0.03562176771352252	0.107088458673
WT1_0	4.006123606211854	-0.008152235145517687	0.109782217468
PATZ1_1	3.7716242216690525	0.009992982914329459	0.110409443417
GLIS2_0	1.7032913781186614	-0.10952571045162544	0.1133612588
CEBPZ_0	2.7969210753301685	-0.04048322024037601	0.114204288641
RXRA_0	3.346646317576889	0.015130042215987434	0.115213318876
NDF2_0	3.163012209774829	-0.01788383341087184	0.11864168299
RARB_0	3.7660036441782805	0.007431026659338135	0.118689430924
AP2B_0	3.151829340131871	0.023731628995309534	0.118780380632
MYBA_0	2.4487063199050794	-0.04097306551305298	0.11884537514
PO3F1_0	2.8145805160103183	-0.020747461099778375	0.120690157555
ZN410_0	1.5185139398778873	-0.11717116378673395	0.124949557624
PO6F1_0	2.244277120801843	-0.04573224585170922	0.126130151446
CUX1_0	1.8976270912904412	-0.059407718049185	0.126260984221
ETV2_0	3.0368284333771127	-0.02685648735715343	0.128509799577
NOTO_0	2.537819095073274	0.03057623379800912	0.129272645562
SPDEF_0	2.620136054973757	-0.0379444666007292	0.130844187874
SP4_0	3.6630409748939736	-0.013579394111464275	0.132560099427
GATA1_1	3.0251009610468134	0.019381870631737325	0.134776617864
E2F7_0	3.1137762838370313	-0.02395305940286857	0.138189218198
ALX1_0	2.681693392004564	-0.017187392410298985	0.139060066765
ZN563_0	2.6702458530741238	-0.03635226227817728	0.139788465555
HIC1_0	2.846955325019824	-0.026238455964574914	0.140942193286
TF7L1_0	2.8567288903828825	-0.024334965952121743	0.141261738095
ZBT48_0	2.656577291396114	-0.028949466032744203	0.141299953703
ZN350_1	2.383815365980431	0.04683002263108134	0.141315677425
SCRT2_0	2.5921767573958667	0.041677518360714066	0.142510924812
NFYB_0	2.8597385661971466	-0.03458038465895877	0.145687221146
CREB1_0	2.2121876044039577	-0.0714962437785027	0.14608129072
PPARG_1	3.0618293072946985	0.018587997088726285	0.146228177518
PITX3_0	2.4899584794248346	0.03255822876194829	0.146321185277
HES1_0	2.545307116465824	0.03567554097903752	0.149874448527
HSF4_0	2.3738311450738303	-0.03808294080051797	0.150045130198
ZN134_0	2.1889284837608534	0.046428543791377834	0.150119878071
NFIL3_0	2.6074550232146683	0.022760053112165037	0.150675477376
ZN816_1	2.715585551893196	0.028826989657312688	0.151835935307
COT2_1	3.0117818305481063	0.02116583969480336	0.152354948547
PDX1_0	2.73679475492436	0.02035321927560526	0.153237985922
NKX22_0	3.9520170900474256	-0.007357686597945832	0.154667236662
FOXO4_0	3.2119210843085093	-0.013104389734530068	0.155800235883
ZN250_0	2.537819095073274	-0.028249762337098798	0.159907871226
ATF2_2	2.0588054866759067	-0.0844383360523244	0.160704800688
SOX7_0	1.8836614351536174	-0.040207250943292513	0.16215514739
DLX6_0	3.356981400993131	0.006634311696768808	0.164950784105
NR2C2_0	2.6753199833392918	0.031131048553831198	0.165602751187
ZN528_0	2.263636068588108	0.04963622438964914	0.166451198646
ZN784_0	2.446381812222442	0.028282487146539845	0.167920735358
FEZF1_0	2.9945371042984976	0.016726723770891364	0.168215451797
ZN329_0	2.2612628687924934	-0.03183767714581756	0.171548249627
IRF3_0	4.199329996688036	-0.003401496528875057	0.174573538702
MAFB_0	2.8286598965353194	-0.03280867748459246	0.17566008887
ASCL2_0	3.322426052405952	-0.014714034958879517	0.176149017129
MYOG_0	3.194514341882467	-0.017776801186792618	0.183545609559
SMCA5_0	2.301029995663981	-0.035643605755567256	0.183749330748
DUX4_0	2.404833716619938	-0.02143226766138131	0.184491610185
